,job_id,canonical_tag_id,tag_name
827,7500,410,Tech Recruitment
828,7500,482,Recruitment
829,7647,102,Data-analysis
830,7647,324,Python
831,7647,39,Big Data
832,7647,225,Machine Learning
833,7747,48,Business Intelligence
834,7614,336,REST APIs
835,7614,203,JSON
836,7614,237,MatLab
837,7614,324,Python
838,7614,328,R
839,6631,174,HTML
840,6631,90,CSS
841,6631,195,JavaScript
842,6631,351,SASS
843,7612,194,Java
844,7612,324,Python
845,7612,307,PHP
846,7612,220,Linux
847,7449,220,Linux
848,7449,199,JIRA
849,7449,187,iOS
850,7449,247,Microsoft Windows Server
851,7465,121,Distributed Systems
852,7465,194,Java
853,7465,324,Python
854,7465,352,Scala
855,7465,220,Linux
856,7207,52,C++
857,7207,288,OpenGL
858,7207,220,Linux
859,7207,195,JavaScript
860,7207,353,Scrum
861,7690,273,Node.js
862,7690,194,Java
863,7598,290,Operating Systems
864,7598,400,System Administration
865,7598,220,Linux
866,7598,323,Puppet
867,7598,124,Docker
868,7549,324,Python
869,7549,275,NoSQL
870,7549,124,Docker
871,7549,273,Node.js
872,7549,195,JavaScript
873,5524,52,C++
874,7777,11,Advertising
875,7777,231,Marketing
876,7637,339,Ruby on Rails
877,7637,336,REST APIs
878,7637,275,NoSQL
879,7613,19,Amazon Web Services (AWS)
880,7613,478,Unix
881,7613,266,MySQL
882,7443,422,TypeScript
883,7443,174,HTML
884,7443,333,React
885,7443,195,JavaScript
886,7443,90,CSS
887,7430,325,QA Engineering
888,7430,361,Shell Scripting
889,7430,446,Web Design
890,7430,324,Python
891,7430,336,REST APIs
892,5773,194,Java
893,5773,508,Kotlin
894,5773,382,Spring
895,7230,136,Embedded Systems
896,7230,50,C
897,7230,52,C++
898,7230,243,Microcontrollers
899,7230,237,MatLab
900,7711,429,User Interface Design
901,7711,90,CSS
902,7711,432,User-centered Design
903,7702,364,Bohemian Coding Sketch
904,7702,306,Photoshop
905,7702,178,Illustrator
906,7728,232,Marketing Automation
907,6960,19,Amazon Web Services (AWS)
908,6960,324,Python
909,6960,117,DevOps
910,5761,433,UX Design
911,5761,306,Photoshop
912,5761,364,Bohemian Coding Sketch
913,5761,429,User Interface Design
914,5761,446,Web Design
915,7718,195,JavaScript
916,7718,510,React Native
917,7620,16,Akka
918,7620,210,kubernetes
919,7620,352,Scala
920,7620,489,Cassandra
921,7620,471,Kafka
922,7755,23,AngularJS
923,7755,333,React
924,7755,382,Spring
925,7755,195,JavaScript
926,7755,194,Java
927,4684,124,Docker
928,4684,382,Spring
929,4684,13,Agile Methodologies
930,4684,414,Test Automation
931,6975,136,Embedded Systems
932,6975,50,C
933,6975,220,Linux
934,7458,266,MySQL
935,7458,90,CSS
936,7458,194,Java
937,7458,195,JavaScript
938,7458,307,PHP
939,7424,415,Test Driven Development
940,7424,195,JavaScript
941,7424,23,AngularJS
942,7424,333,React
943,7424,159,Git
944,7054,13,Agile Methodologies
945,7054,333,React
946,7054,351,SASS
947,7054,195,JavaScript
948,5357,194,Java
949,5357,508,Kotlin
950,7229,194,Java
951,7229,496,Hibernate
952,7229,159,Git
953,7229,382,Spring
954,7229,336,REST APIs
955,7545,92,Customer Experience
956,7545,318,Product Owner
957,7545,498,User Flows
958,7545,102,Data-analysis
959,7545,353,Scrum
960,6974,273,Node.js
961,6974,333,React
962,6974,195,JavaScript
963,7733,195,JavaScript
964,7733,333,React
965,7733,422,TypeScript
966,7745,52,C++
967,6719,261,MongoDB
