,id,company_id,experience_level,last_published_at,closed_at
5708,4004,1963,3.0,2017-08-09 11:14:50.373 UTC,2017-12-08 01:11:15.415 UTC
5709,4012,1963,2.0,2017-08-11 10:19:28.118 UTC,2017-12-10 02:00:09.947 UTC
5710,4571,2170,2.0,2017-12-19 15:52:26.545 UTC,2018-02-19 09:44:15.965 UTC
5711,4570,2170,2.0,2017-12-19 16:05:10.312 UTC,2018-07-05 02:00:32.025 UTC
5712,5821,2170,2.0,2018-07-09 08:04:41.197 UTC,2018-10-15 12:43:03.785 UTC
5713,4204,388,2.0,2017-09-28 09:12:35.739 UTC,2018-03-02 09:37:30.238 UTC
5714,5427,388,2.0,2018-05-09 10:47:57.715 UTC,2018-07-09 08:48:23.194 UTC
5715,4707,2207,2.0,2018-01-24 19:40:09.064 UTC,2018-05-25 02:00:22.049 UTC
5716,4699,2207,2.0,2018-01-24 19:20:47.986 UTC,2018-06-22 11:57:12.657 UTC
5717,4697,2207,3.0,2018-01-22 12:01:38.694 UTC,2018-05-25 02:00:22.317 UTC
5718,4710,2207,2.0,2018-01-23 10:43:00.611 UTC,2018-05-25 02:00:21.474 UTC
5719,4709,2207,3.0,2018-01-24 10:32:26.328 UTC,2018-05-25 02:00:23.26 UTC
5720,4708,2207,2.0,2018-01-24 18:59:13.463 UTC,2018-05-25 02:00:21.2 UTC
5721,4906,2207,2.0,,
5722,4907,2207,2.0,,2018-06-05 16:35:48.846 UTC
5723,6543,1294,2.0,,
5724,6547,1294,2.0,,
5725,6545,1294,2.0,,
5726,6544,1294,2.0,,
5727,6546,1294,2.0,,
5728,6548,1294,2.0,,
5729,7603,2613,2.0,,
5730,7604,2613,3.0,,
5731,6589,2613,3.0,2018-11-14 12:35:43.005 UTC,
5732,7605,873,2.0,,
5733,3556,724,2.0,2017-05-08 14:02:53.84 UTC,2018-01-21 02:00:33.577 UTC
5734,2261,914,3.0,2017-05-09 10:27:17.983 UTC,2018-02-23 14:51:09.793 UTC
5735,3549,724,2.0,2017-05-08 08:56:02.477 UTC,2018-01-13 02:00:34.143 UTC
5736,3669,1817,1.0,2017-05-30 11:44:23.925 UTC,2018-05-22 12:51:42.365 UTC
5737,3688,1817,2.0,2017-05-30 12:14:42.815 UTC,2018-05-22 12:59:17.956 UTC
5738,3689,1817,3.0,2017-05-30 12:18:03.112 UTC,2018-05-22 13:00:56.33 UTC
5739,3670,1817,4.0,2017-05-30 10:05:11.14 UTC,2018-05-22 12:48:07.117 UTC
5740,1051,656,2.0,2016-01-19 13:36:33.835 UTC,2016-07-22 15:53:19.397 UTC
